date,state,State Date,fips,cases,deaths,population,CaseCapita,DeathCapita,Pact
2020-03-01,Illinois,Illinois43891,17,3,0,12659700,2.36972E-07,0,Midwest
2020-03-01,Massachusetts,Massachusetts43891,25,1,0,6976600,1.43336E-07,0,Northeast
2020-03-01,Nebraska,Nebraska43891,31,13,0,1952570,6.65789E-06,0,N/A
2020-03-01,New York,New York43891,36,1,0,19440500,5.1439E-08,0,Northeast
2020-03-01,Oregon,Oregon43891,41,2,0,4301090,4.64998E-07,0,Western
2020-03-01,Rhode Island,Rhode Island43891,44,2,0,1056160,1.89365E-06,0,Northeast
2020-03-01,Texas,Texas43891,48,11,0,29472300,3.73232E-07,0,N/A
2020-03-01,Utah,Utah43891,49,1,0,3282120,3.04681E-07,0,N/A
2020-03-01,Washington,Washington43891,53,17,3,7797100,2.1803E-06,3.84758E-07,Western
2020-03-01,Wisconsin,Wisconsin43891,55,1,0,5851750,1.70889E-07,0,Midwest
2020-03-02,Arizona,Arizona43892,4,1,0,7378490,1.35529E-07,0,N/A
2020-03-02,California,California43892,6,38,0,39937500,9.51487E-07,0,Western
2020-03-02,Florida,Florida43892,12,2,0,21993000,9.0938E-08,0,N/A
2020-03-02,Georgia,Georgia43892,13,2,0,10736100,1.86287E-07,0,N/A
2020-03-02,Illinois,Illinois43892,17,4,0,12659700,3.15963E-07,0,Midwest
2020-03-02,Massachusetts,Massachusetts43892,25,2,0,6976600,2.86673E-07,0,Northeast
2020-03-02,Nebraska,Nebraska43892,31,13,0,1952570,6.65789E-06,0,N/A
2020-03-02,New Hampshire,New Hampshire43892,33,1,0,1371250,7.29262E-07,0,N/A
2020-03-02,New York,New York43892,36,1,0,19440500,5.1439E-08,0,Northeast
2020-03-02,Oregon,Oregon43892,41,2,0,4301090,4.64998E-07,0,Western
2020-03-02,Rhode Island,Rhode Island43892,44,2,0,1056160,1.89365E-06,0,Northeast
2020-03-02,Texas,Texas43892,48,11,0,29472300,3.73232E-07,0,N/A
2020-03-02,Utah,Utah43892,49,1,0,3282120,3.04681E-07,0,N/A
2020-03-02,Washington,Washington43892,53,23,6,7797100,2.94981E-06,7.69517E-07,Western
2020-03-02,Wisconsin,Wisconsin43892,55,1,0,5851750,1.70889E-07,0,Midwest
2020-03-03,Arizona,Arizona43893,4,2,0,7378490,2.71058E-07,0,N/A
2020-03-03,California,California43893,6,45,0,39937500,1.12676E-06,0,Western
2020-03-03,Florida,Florida43893,12,3,0,21993000,1.36407E-07,0,N/A
2020-03-03,Georgia,Georgia43893,13,2,0,10736100,1.86287E-07,0,N/A
2020-03-03,Illinois,Illinois43893,17,4,0,12659700,3.15963E-07,0,Midwest
2020-03-03,Massachusetts,Massachusetts43893,25,2,0,6976600,2.86673E-07,0,Northeast
2020-03-03,Nebraska,Nebraska43893,31,13,0,1952570,6.65789E-06,0,N/A
2020-03-03,New Hampshire,New Hampshire43893,33,2,0,1371250,1.45852E-06,0,N/A
2020-03-03,New York,New York43893,36,2,0,19440500,1.02878E-07,0,Northeast
2020-03-03,North Carolina,North Carolina43893,37,1,0,10611900,9.42338E-08,0,N/A
2020-03-03,Oregon,Oregon43893,41,2,0,4301090,4.64998E-07,0,Western
2020-03-03,Rhode Island,Rhode Island43893,44,2,0,1056160,1.89365E-06,0,Northeast
2020-03-03,Texas,Texas43893,48,11,0,29472300,3.73232E-07,0,N/A
2020-03-03,Utah,Utah43893,49,1,0,3282120,3.04681E-07,0,N/A
2020-03-03,Washington,Washington43893,53,32,10,7797100,4.10409E-06,1.28253E-06,Western
